business_name,sector,city,contact_email,owner_first_name,owner_full_name,hook_short,signature_offering,voice_register,demo_slug,demo_url,status,sent_date,last_action_date,notes
Shin Jung Korean BBQ,restaurant,Orlando,shinjungkorean@gmail.com,there,,Michelin-recognized Korean BBQ in Mills 50; table-top grilling; banchan,Korean BBQ (Michelin-recognized),elegant-fine-dining,shinjung,https://gabstw3.github.io/velo-ai-demos/shinjung.html,sent,2026-05-01,2026-05-01,No reply yet
Canvas Restaurant & Market,restaurant,Orlando,websitecontact@canvaslakenona.com,there,,Lakeside New American in Lake Nona; weekday happy hour 3-6pm; Foxtail Coffee; family meals,New American lakeside,hospitable-conversational,canvas,https://gabstw3.github.io/velo-ai-demos/canvas.html,sent,2026-05-01,2026-05-01,No reply yet
Healing and Hair Studio,salon,Oviedo,healingandhair@gmail.com,there,,Private studio; precision cuts + balayage + custom foiling; luxury professional brands,Hair color & cutting (boutique),luxury-boutique,healinghair,https://gabstw3.github.io/velo-ai-demos/healinghair.html,sent,2026-05-01,2026-05-01,No reply yet
Scandalous Artistry,salon,Orlando,scandalousartistry@gmail.com,Nikki,Nikki Scandalous,Vivid color + balayage + hand painting + color corrections; Downtown Orlando bold-color salon,Vivid color & corrections,warm-friendly,scandalous,https://gabstw3.github.io/velo-ai-demos/scandalous.html,sent,2026-05-01,2026-05-01,No reply yet
Lake Minneola Dentistry,dental,Clermont,smile@lakeminneoladentistry.com,Tara,"Dr. Tara Derakhshandeh, DMD","4.9-star 287 reviews; 15+ yrs; conservative philosophy; TMJ specialist; same-day Zoom whitening",Conservative cosmetic dentistry,professional-clinical,lakeminneola,https://gabstw3.github.io/velo-ai-demos/lakeminneola.html,drafted,,2026-05-02,Wave 5 - Monday morning send
"Bryant & de Parry, P.A.",law,DeLand,email@delandattorney.com,Astrid,"Astrid de Parry, Esq.",AV Preeminent + Avvo Client's Choice probate; founded 1993; former DeLand City Attorney 1989-92,Probate & estate planning,formal-authoritative,bryantdeparry,https://gabstw3.github.io/velo-ai-demos/bryantdeparry.html,drafted,,2026-05-02,Wave 5 - Monday morning send
Canvas Hair Design Studio,salon,New Smyrna Beach,canvashairdesignstudio@gmail.com,Lexi,Lexi Ciara,Masters of Balayage Educator; eco-conscious; hand-tied extensions; est 2018; 4.7★ 152 reviews,Sustainable balayage & extensions,warm-friendly,canvashair,https://gabstw3.github.io/velo-ai-demos/canvashair.html,drafted,,2026-05-02,Wave 5 - Monday morning send
The Mix Salon Spa,salon,DeLand,themixsalonspa.fl@gmail.com,JeanMarie,JeanMarie Funicello-Pereira,Aveda Master; West Volusia Beacon press; 15+ yrs owner-op; downtown DeLand; full salon+spa,Aveda color & spa services,warm-friendly,themixsalon,https://gabstw3.github.io/velo-ai-demos/themixsalon.html,drafted,,2026-05-02,Wave 5 - Monday morning send
Cress Restaurant,restaurant,DeLand,tom@cressrestaurant.com,Tom,Tom Brandt,4× James Beard semifinalist (Chef Hari Pulapaka); Wine Spectator; 2025 DiRoNA; 15+ yrs DeLand,Farm-to-table fine dining,elegant-fine-dining,cress,https://gabstw3.github.io/velo-ai-demos/cress.html,drafted,,2026-05-02,Wave 6 - Monday morning send
Guru Indian Restaurant,restaurant,Clermont,gurucateringllc@gmail.com,Uday,Uday Kadam,South Lake Chamber Local Taste Award; Best Indian Central FL; 11 yrs Clermont; signature Chicken Tikka Masala,Authentic Northern Indian,hospitable-conversational,guruindian,https://gabstw3.github.io/velo-ai-demos/guruindian.html,drafted,,2026-05-02,Wave 6 - Monday morning send
Ron Ziolkowski / RTR (RE/MAX Prime Properties),realestate,Winter Garden,ron@rtrgroup.com,Ron,Ronald Ziolkowski,$750M+ closed 28 yrs; #1 RE/MAX FL 6 yrs; Orlando Magazine Best Realtor 2025; solo handles 100% own,Top-producer solo brand,luxury-boutique,ronrtr,https://gabstw3.github.io/velo-ai-demos/ronrtr.html,drafted,,2026-05-02,Wave 6 - Monday morning send
The Florida Property Shop,realestate,Clermont,sarah@flpropertyshop.com,Sarah,Sarah Gholami,2-person boutique husband-wife; 20+ yrs combined; waterfront specialist; international buyers,Boutique waterfront brokerage,aspirational-consultative,flpropertyshop,https://gabstw3.github.io/velo-ai-demos/flpropertyshop.html,drafted,,2026-05-02,Wave 6 - Monday morning send
Dentist of Lake Mary,dental,Lake Mary,info@dentistoflakemary.com,Nimish,"Dr. Nimish, DDS",15 years modern advanced technologies + same-day appointments,Same-day general dentistry,professional-clinical,lakemaryld,https://gabstw3.github.io/velo-ai-demos/lakemaryld.html,drafted,,2026-05-02,Wave 7 - Monday morning send
Lake Mary Dental,dental,Lake Mary,info@lakemarydental.com,Ravi,"Dr. Ravi, DDS",Invisalign + Lumineers + dental implants; 10+ yrs cosmetic focus,Cosmetic dentistry,professional-clinical,lmdental,https://gabstw3.github.io/velo-ai-demos/lmdental.html,drafted,,2026-05-02,Wave 7 - Monday morning send
"J. Thaddeus Morgan, DMD",dental,Lake Mary,frontdesk@tmorgandmd.com,Thaddeus,"Dr. J. Thaddeus Morgan, DMD",20+ yr private practice; Invisalign provider; personalized care over corporate shortcuts,Private practice dentistry,professional-clinical,morganmd,https://gabstw3.github.io/velo-ai-demos/morganmd.html,drafted,,2026-05-02,Wave 7 - Monday morning send
Enclave Dental,dental,Lake Mary,info@enclave.dental,Shachi,"Dr. Shachi Shah, DDS",No-wait policy; same-day appointments; comfort-first commitment,No-wait general dentistry,professional-clinical,enclave,https://gabstw3.github.io/velo-ai-demos/enclave.html,drafted,,2026-05-02,Wave 7 - Monday morning send
Maitland Ave Smile Co,dental,Altamonte Springs,MaitlandSmile@gmail.com,Kirk,"Drs. Williams, Solberg & Miller","50+ combined years; 7am-5pm hours; multi-doctor practice",Multi-doctor general dentistry,professional-clinical,maitlandsmile,https://gabstw3.github.io/velo-ai-demos/maitlandsmile.html,drafted,,2026-05-02,Wave 7 - Monday morning send
Altamonte Dental Care,dental,Altamonte Springs,contact@dentalaltamonte.com,Efrain,"Dr. Plaza, DDS",600+ five-star Google reviews,High-volume general dentistry,professional-clinical,altamontedental,https://gabstw3.github.io/velo-ai-demos/altamontedental.html,drafted,,2026-05-02,Wave 7 - Monday morning send
Distinctive Dentistry on Maitland,dental,Altamonte Springs,office@dentistryonmaitland.com,Timothy,"Dr. Timothy, DMD",50+ yr history; cosmetic + implant dentistry; legacy practice,Cosmetic + implant dentistry,professional-clinical,distinctive,https://gabstw3.github.io/velo-ai-demos/distinctive.html,drafted,,2026-05-02,Wave 7 - Monday morning send
Altamonte Big Tree Dental,dental,Altamonte Springs,patrickdelflore@gmail.com,Patrick,"Dr. Patrick DelFlore, DDS",35+ yrs; patient-first; family-focused approach,Family general dentistry,professional-clinical,bigtree,https://gabstw3.github.io/velo-ai-demos/bigtree.html,drafted,,2026-05-02,Wave 7 - Monday morning send
Dental World,dental,Longwood,info@dentalworldinc.com,Mark,"Dr. Mark, DDS",Remodeled 2024; 261 Google reviews; 30+ yrs serving community,General dentistry (modernized legacy),professional-clinical,dentalworld,https://gabstw3.github.io/velo-ai-demos/dentalworld.html,drafted,,2026-05-02,Wave 7 - Monday morning send
Lake Nona Dental Implants & Periodontics,dental,Lake Nona,info@lakenonadentalimplants.com,Carlos,"Dr. Carlos Pires, DDS, MS",Master's in Periodontology (Case Western) + Oral Implantology (São Leopoldo Mandic); specialist,Periodontics + implants (specialist),professional-clinical,nonaimplants,https://gabstw3.github.io/velo-ai-demos/nonaimplants.html,drafted,,2026-05-02,Wave 7 - Monday morning send
Esteem Dental,dental,Lake Nona,info@esteemsmiles.com,Jordan,"Dr. Jordan Jones, DMD",One-stop dentistry + orthodontics; AARP recognition,General + ortho one-stop,professional-clinical,esteem,https://gabstw3.github.io/velo-ai-demos/esteem.html,drafted,,2026-05-02,Wave 7 - Monday morning send
Pacha & Bijan Dental,dental,Maitland,contact@bijandental.com,Danielle,Dr. Pacha & Dr. Bijan,Academy of Osseointegration members; FDA recognition; advanced implant specialization,Implant specialists (2-doctor),professional-clinical,pachabijan,https://gabstw3.github.io/velo-ai-demos/pachabijan.html,drafted,,2026-05-02,Wave 7 - Monday morning send
Lake Forest Family Dentistry,dental,Sanford,angela@smileorlando.com,Horanic,Dr. Horanic,33 years building practice in Sanford,Family general dentistry,professional-clinical,lakeforest,https://gabstw3.github.io/velo-ai-demos/lakeforest.html,sent,2026-04-27,2026-04-27,Sent via Angela (front office); first warm-pitch batch
"Lance A. Ragland, P.A.",law,Winter Springs,debbie@lraglandlaw.com,Lance,"Lance A. Ragland, Esq.",Solo estate planning Winter Springs since 2015,Estate planning solo,formal-authoritative,ragland,https://gabstw3.github.io/velo-ai-demos/ragland.html,sent,2026-04-27,2026-04-27,Sent via Debbie (paralegal); first warm-pitch batch
BACÁN,restaurant,Lake Nona,bshayer@lakenonawavehotel.com,Robin,Chef Guillaume Robin,Michelin-recommended Latin American at Lake Nona Wave Hotel,Latin American fine dining (Michelin),elegant-fine-dining,bacan,https://gabstw3.github.io/velo-ai-demos/bacan.html,sent,2026-04-28,2026-04-28,Two emails sent (initial + recovery)
Sunbright Realty,realestate,Clermont,info@sunbrightrealty.com,Lou,Lou Salvemini Jr.,Boutique brokerage 16+ agents serving Lake/Polk/Osceola/Orange,Boutique brokerage,aspirational-consultative,sunbright,https://gabstw3.github.io/velo-ai-demos/sunbright.html,sent,2026-04-28,2026-04-28,Sent + recovery email after wrong demo URL
Murphy & Berglund,law,Altamonte Springs,info@murphyberglund.com,Jodi,Jodi Murphy & Michelle Berglund-Harper,Estate planning + family law + elder law,Estate planning firm,formal-authoritative,murphyberglund,https://gabstw3.github.io/velo-ai-demos/murphyberglund.html,sent,2026-04-29,2026-04-29,
Venetian Pointe Dentistry,dental,Dr Phillips,frontdesk@vpdentistry.com,Rampi,Dr. Richard Rampi,General + family + cosmetic dentistry in Dr Phillips,Family general dentistry,professional-clinical,vpdental,https://gabstw3.github.io/velo-ai-demos/vpdental.html,sent,2026-04-29,2026-04-29,
Susana's Cafe,restaurant,Kissimmee,susana@susanascafe.com,Susana,Susana,Orlando's Best Breakfast 2024 1st place; Latin breakfast; downtown Kissimmee,Latin brunch / cafe,hospitable-conversational,susanas,https://gabstw3.github.io/velo-ai-demos/susanas.html,sent,2026-04-29,2026-04-29,
Adriatico Trattoria Italiana,restaurant,Orlando,rosetta@adriatico-trattoria.com,Marco,Chef Marco Cudazzo,College Park Italian fine dining; handmade pasta; husband-wife operation (Rosetta FOH),Italian fine dining,elegant-fine-dining,adriatico,https://gabstw3.github.io/velo-ai-demos/adriatico.html,sent,2026-04-29,2026-04-29,
The Boutty Law Firm,law,Sanford,info@bouttylaw.com,Shane,Benjamin Shane Boutty,Estate planning + real estate + construction; Sanford solo,Estate planning solo,formal-authoritative,bouttylaw,https://gabstw3.github.io/velo-ai-demos/bouttylaw.html,sent,2026-04-29,2026-04-29,
Conan & Herman,law,Orlando,contact@conanandherman.com,Mark,Mark Cohen & J. Scott Herman,Orlando criminal defense; DUI defense,Criminal defense firm,formal-urgent,conanherman,https://gabstw3.github.io/velo-ai-demos/conanherman.html,sent,2026-04-29,2026-04-29,
The Funk Collection,realestate,Windermere,info@realtyinorlando.com,Jeffrey,Jeffrey Funk (P.A.) & Renee Funk,Husband-wife luxury team since 1999; Windermere/Winter Garden/Doctor Phillips,Luxury real estate team,luxury-boutique,funkcollection,https://gabstw3.github.io/velo-ai-demos/funkcollection.html,sent,2026-04-29,2026-04-29,
Elite Dentistry,dental,Avalon Park,Front@elitedentistry.com,Ashy,Dr. Ashy,General + cosmetic + pediatric dentistry,General + pediatric dentistry,professional-clinical,elitedental,https://gabstw3.github.io/velo-ai-demos/elitedental.html,sent,2026-04-29,2026-04-29,
Studio 312 Salon,salon,Oviedo,info@studio312salon.com,Rachel,Rachel,Owner-operated; precision cuts + professional coloring,Hair color & cutting,warm-friendly,studio312,https://gabstw3.github.io/velo-ai-demos/studio312.html,sent,2026-04-29,2026-04-29,
Bánh Mì Boy Bakery & Café,restaurant,Orlando,info@banhmiboycafe.com,Hung,Chef Hung Huynh,Top Chef Winner; Michelin Bib-recognized Vietnamese; bánh mì + pho French dip,Vietnamese fine dining (Michelin),elegant-fine-dining,banhmiboy,https://gabstw3.github.io/velo-ai-demos/banhmiboy.html,sent,2026-04-29,2026-04-29,
Estate Planning & Legacy Law Center,law,Altamonte Springs,cwilder@epllc-plc.com,Charles,Charles Wilder,Estate planning + wills/trusts + probate,Estate planning firm,formal-authoritative,epllc,https://gabstw3.github.io/velo-ai-demos/epllc.html,sent,2026-04-29,2026-04-29,Original info@ bounced (O365 alias); fixed to cwilder@
Kane and Koltun,law,Maitland,shk@kaneandkoltun.com,Steven,Steven H. Kane,Business law + estate planning + real estate,Estate planning + business law,formal-authoritative,kanekoltun,https://gabstw3.github.io/velo-ai-demos/kanekoltun.html,sent,2026-04-29,2026-04-29,
Forward Law Firm,law,Orlando,client-success@forwardlawfirm.com,Philip,Philip K. Calandrino,Business + corporate + IP for Central Florida,Business / IP law firm,formal-authoritative,forwardlaw,https://gabstw3.github.io/velo-ai-demos/forwardlaw.html,sent,2026-04-29,2026-04-29,
Palmano Group,realestate,Winter Park,Info@palmanogroup.com,Richard,Richard Palmano,Family-owned boutique 17+ years; Winter Park/Maitland/Lake Mary/Windermere/Lake Nona/Baldwin Park,Boutique luxury brokerage,aspirational-consultative,palmano,https://gabstw3.github.io/velo-ai-demos/palmano.html,sent,2026-04-29,2026-04-29,Original r.palmano@ bounced; fixed to Info@
Nami,restaurant,Lake Nona,nami@namilakenona.com,Freddy,Chefs Freddy & Jason,Michelin-starred Japanese omakase Lake Nona; Chef's Counter,Japanese fine dining (Michelin),elegant-fine-dining,nami,https://gabstw3.github.io/velo-ai-demos/nami.html,sent,2026-04-29,2026-04-29,Original contact@ bounced; fixed to nami@
Veliz Katz Law,law,Maitland,velizkatz@velizkatzlaw.com,David,David Veliz & Norberto Katz,Family law + estate planning + probate Maitland,Family law + estate planning,formal-authoritative,velizkatz,https://gabstw3.github.io/velo-ai-demos/velizkatz.html,sent,2026-04-29,2026-04-29,
Klausman Law,law,Winter Park,glenn@klausmanlaw.com,Glenn,Glenn Klausman,Solo PI + insurance claims + auto accidents Winter Park,Personal injury solo,formal-urgent,klausmanlaw,https://gabstw3.github.io/velo-ai-demos/klausmanlaw.html,sent,2026-04-29,2026-04-29,
Frank Family Law Practice,law,Altamonte Springs,staff@frankfamilylaw.com,Jennifer,Jennifer Frank,Family law: divorce + custody + spousal support Altamonte,Family law firm,formal-authoritative,frankfamilylaw,https://gabstw3.github.io/velo-ai-demos/frankfamilylaw.html,sent,2026-04-29,2026-04-29,
Cullen & Hemphill,law,Winter Park,kcullen@cullen-hemphill.com,Kim,Kim Cullen,Personal injury + workers comp Winter Park,Personal injury firm,formal-authoritative,cullen,https://gabstw3.github.io/velo-ai-demos/cullen.html,sent,2026-04-29,2026-04-29,
Goldie Salon,salon,Lake Mary,info@goldiesalon.com,Valerie,Valerie Miller,Lake Mary luxury boutique; custom coloring + extensions + bridal,Luxury boutique salon,luxury-boutique,goldie,https://gabstw3.github.io/velo-ai-demos/goldie.html,sent,2026-04-29,2026-04-29,
Pig Floyd's Urban Barbakoa,restaurant,Orlando,thomas@pigfloyds.com,Thomas,Thomas,Slow-smoked BBQ + remixed tacos in Mills 50; sister location Winter Park,BBQ / Latin smokehouse,hospitable-conversational,pigfloyds,https://gabstw3.github.io/velo-ai-demos/pigfloyds.html,sent,2026-04-29,2026-04-29,
Kadence,restaurant,Orlando,kadence@kadenceorlando.com,there,,1 Michelin star; 9-seat omakase sushi & sake bar Audubon Park,Japanese omakase (Michelin),elegant-fine-dining,kadence,https://gabstw3.github.io/velo-ai-demos/kadence.html,sent,2026-04-29,2026-04-29,
Coro Restaurant,restaurant,Orlando,info@cororestaurant.com,there,,Michelin-recognized chef-driven Spanish tapas Audubon Park,Spanish fine dining (Michelin),elegant-fine-dining,coro,https://gabstw3.github.io/velo-ai-demos/coro.html,sent,2026-04-29,2026-04-29,
Marcia's Looks,salon,Downtown Orlando,help@marciaslooks.com,Marcia,Marcia RC,Artistic director ~20 yrs; premium hair extensions specialist; signature cuts + advanced treatments,Hair extensions + color,warm-friendly,marcias,https://gabstw3.github.io/velo-ai-demos/marcias.html,sent,2026-04-29,2026-04-29,
The Look Salon & Spa,salon,Oviedo,info@thelooksalonandspa.com,there,,Award-winning full-service Oviedo; cuts + color + microblading + spa,Full-service salon + spa,warm-friendly,thelook,https://gabstw3.github.io/velo-ai-demos/thelook.html,sent,2026-04-29,2026-04-29,
Latham Luna,law,Orlando,dvelasquez@lathamluna.com,Daniel,Daniel Velasquez,Business + bankruptcy + construction Orlando,Business / construction law,formal-authoritative,lathamluna,https://gabstw3.github.io/velo-ai-demos/lathamluna.html,sent,2026-04-29,2026-04-29,
Giovanni's Pizzeria & Kitchen,restaurant,Lake Mary,guestengagement@iservpizza.com,there,,Lake Mary Italian pizzeria; hand-tossed daily dough + imported pasta,Italian pizzeria,hospitable-conversational,giovannis,https://gabstw3.github.io/velo-ai-demos/giovannis.html,sent,2026-04-29,2026-04-29,
Lake Nona Dental Group,dental,Lake Nona,info@lakenonadentalgroup.com,there,,Multi-doctor general dentistry serving Lake Nona / Medical City,Family general dentistry,professional-clinical,lakenonadental,https://gabstw3.github.io/velo-ai-demos/lakenonadental.html,sent,2026-04-29,2026-04-29,
DSK Law,law,Orlando,yrb@dsklawgroup.com,there,,Multi-attorney mid-size firm (50+ attorneys); Orlando/Tampa/Melbourne offices,Multi-office mid-size firm,formal-authoritative,,,disqualified,,2026-05-02,Mid-size firm (50+ attorneys) - violates solo-practitioner target
Star Bay Realty,realestate,Miami Beach,info@starbayrealty.com,there,,160-agent brokerage HQ Miami Beach; 100% commission recruiting model,100%-commission recruiting brokerage,aspirational-consultative,,,disqualified,,2026-05-02,Miami Beach 160-agent brokerage - not Central FL solo
Olympus Executive Realty,realestate,Montverde,join@oerfl.com,there,,100%-commission recruiting brokerage; multi-state,100%-commission recruiting brokerage,aspirational-consultative,olympus,https://gabstw3.github.io/velo-ai-demos/olympus.html,sent,2026-04-29,2026-05-02,Originally pitched in warm-pitch batch; later disqualified - 100%-commission recruiter not solo broker
Lake Mary Modern Dentistry,dental,Lake Mary,lakemarymoderndentistry@smilegeneration.com,Imran,,Smile Generation network; CEREC same-day crowns; extended hours,Smile Generation DSO,professional-clinical,,,disqualified,,2026-05-02,Smile Generation DSO - violates solo-practitioner target
Altamonte Springs Dental Group,dental,Altamonte Springs,info@altamontespringsdentalgroup.com,Robert,,Smile Generation partnership; extended hours 10am-7pm,Smile Generation DSO,professional-clinical,,,disqualified,,2026-05-02,Smile Generation DSO - violates solo-practitioner target
Dentists of Sanford,dental,Sanford,dentistsofsanford@smilegeneration.com,Nicola,Dr. Nicola,Smile Generation affiliate Sanford,Smile Generation DSO,professional-clinical,,,disqualified,,2026-05-02,Smile Generation DSO - violates solo-practitioner target
Feller Law,law,Lake Mary,info@feller-law.com,RoseMarie,RoseMarie Feller,24/7 phone line for criminal + family law; flexible hours,Family + criminal law solo,formal-urgent,,,lost,,2026-05-02,Sent broken-URL pitch on Apr 15 + follow-up Apr 21; site went dark afterward; deferred
